Slice;MSE;MAE;PSNR;SSIM;Weight
0;75,168950;6,283105;29,370419;0,776088;657
1;101,120814;7,400525;28,082398;0,781241;1523
2;223,105858;7,801302;24,645694;0,788887;2919
3;379,925153;10,949399;22,333823;0,748318;4743
4;317,853066;9,035472;23,108540;0,773730;6343
5;398,478256;10,456080;22,126757;0,747683;8117
6;249,191541;9,087702;24,165471;0,792264;9977
7;204,512144;7,059753;25,023613;0,801966;11899
8;162,075820;6,516701;26,033621;0,799803;13532
9;115,896716;5,839358;27,490092;0,818325;15133
10;116,396985;6,064369;27,471386;0,821177;16716
11;126,374938;6,459243;27,114194;0,815859;18267
12;112,624235;6,499469;27,614485;0,852494;19765
13;119,473784;6,550286;27,358077;0,844818;21189
14;112,486091;6,389819;27,619815;0,853498;22395
15;140,927531;7,063884;26,640845;0,840865;23762
16;149,094957;7,298161;26,396174;0,838541;25285
17;143,448416;7,134996;26,563846;0,848489;26297
18;155,364620;7,250019;26,217282;0,827754;26998
19;156,731028;7,333443;26,179254;0,817828;27330
20;149,875718;7,152918;26,373491;0,824583;27518
21;167,292779;7,572209;25,896032;0,794172;27642
22;143,889685;7,135093;26,550507;0,804128;27766
23;128,839300;6,611782;27,030320;0,830986;27822
24;148,301230;7,245545;26,419356;0,812415;27889
25;147,430779;7,341654;26,444922;0,827053;27961
26;130,300889;6,621194;26,981330;0,841711;28017
27;125,328236;6,648860;27,150314;0,839118;28117
28;120,111888;6,489603;27,334944;0,846923;28180
29;110,367222;6,043051;27,702402;0,859334;28269
30;120,890637;6,391254;27,306877;0,845255;28355
31;113,786437;6,308246;27,569899;0,848949;28474
32;105,457855;5,991949;27,900014;0,858306;28568
33;122,979624;6,521177;27,232472;0,842644;28710
34;114,823064;6,382303;27,530512;0,843833;28841
35;113,575409;6,306739;27,577960;0,851617;28816
36;131,767771;6,776964;26,932712;0,824796;28825
37;136,372740;6,873173;26,783528;0,820940;28811
38;127,621104;6,540021;27,071579;0,837675;28847
39;132,297595;6,636704;26,915284;0,825347;28858
40;119,953109;6,358619;27,340689;0,833390;28897
41;109,166373;5,919903;27,749915;0,845660;28965
42;121,541308;6,379315;27,283565;0,823059;29026
43;114,793569;6,299072;27,531628;0,833925;29080
44;117,683727;6,174625;27,423639;0,842889;29171
45;134,988794;6,788665;26,827826;0,834526;29271
46;193,296265;8,175959;25,268569;0,800759;29342
47;262,020732;9,469361;23,947447;0,766735;29472
48;221,156680;9,068647;24,683803;0,803453;29557
49;208,530142;8,681476;24,939115;0,815581;29643
50;209,898859;8,669762;24,910703;0,799465;29721
51;178,210406;7,997249;25,621473;0,826533;29809
52;157,235052;7,404884;26,165310;0,842250;29853
53;180,330043;7,856641;25,570123;0,831945;29890
54;158,554428;7,175504;26,129020;0,845470;29948
55;150,441257;7,008339;26,357134;0,851625;29978
56;154,723693;7,012491;26,235235;0,846318;30021
57;144,653639;6,795859;26,527510;0,859107;30038
58;148,162736;6,719470;26,423414;0,854927;30061
59;170,235370;7,006454;25,820306;0,846515;30059
60;181,137065;7,262563;25,550730;0,842055;30088
61;152,354144;6,865279;26,302261;0,857627;30129
62;135,403655;6,380638;26,814500;0,869591;30152
63;105,720172;5,942644;27,889225;0,891076;30215
64;86,145461;5,314566;28,778480;0,898954;30283
65;86,967408;5,176906;28,737238;0,901190;30406
66;95,173973;5,635890;28,345622;0,902073;30499
67;87,289473;5,364606;28,721185;0,903473;30559
68;82,630871;5,103829;28,959380;0,908124;30637
69;87,449128;5,349046;28,713249;0,906472;30675
70;82,639072;5,121460;28,958949;0,909049;30718
71;90,531219;5,267917;28,562820;0,908823;30767
72;85,571776;5,077100;28,807498;0,908987;30804
73;88,592527;5,322813;28,656833;0,908510;30829
74;81,897596;5,094651;28,998092;0,916938;30829
75;78,881590;5,013625;29,161047;0,913357;30825
76;81,886133;5,064483;28,998700;0,912651;30799
77;73,194836;4,824413;29,485999;0,920415;30754
78;80,496487;5,080351;29,073034;0,916680;30740
79;81,023367;5,166433;29,044701;0,918229;30727
80;67,956867;4,609330;29,808470;0,926617;30696
81;72,723378;4,800273;29,514063;0,922592;30717
82;77,022470;5,010486;29,264629;0,922977;30707
83;73,406236;4,895778;29,473474;0,926113;30694
84;76,082910;5,117168;29,317932;0,924526;30708
85;73,658123;4,959386;29,458597;0,924817;30704
86;69,550973;4,751312;29,707771;0,927488;30673
87;70,602811;4,802139;29,642584;0,927609;30663
88;68,153620;4,698891;29,795914;0,929843;30660
89;67,786532;4,586310;29,819369;0,928404;30651
90;78,578061;4,950571;29,177791;0,925794;30630
91;79,773306;4,768671;29,112228;0,927589;30636
92;96,294525;5,051650;28,294788;0,921693;30629
93;82,257534;5,150847;28,979047;0,924555;30594
94;75,682432;4,888903;29,340853;0,925007;30595
95;80,241417;5,183932;29,086818;0,923982;30582
96;74,047491;5,068162;29,435700;0,925161;30574
97;76,759313;5,116795;29,279493;0,925581;30575
98;77,015362;5,086161;29,265030;0,923274;30594
99;74,566102;5,110345;29,405389;0,926123;30604
100;80,231669;5,240136;29,087345;0,923480;30591
101;77,369630;5,196674;29,245098;0,919525;30609
102;72,220444;5,140627;29,544202;0,920753;30620
103;73,820104;5,249478;29,449057;0,917956;30640
104;73,320177;5,042860;29,478569;0,912143;30658
105;70,415045;5,111502;29,654149;0,918022;30681
106;68,677017;4,946142;29,762689;0,914161;30692
107;72,515207;4,986519;29,526513;0,907861;30710
108;64,129882;4,742873;30,060199;0,909351;30728
109;65,590411;4,838818;29,962400;0,913237;30599
110;64,848994;4,585119;30,011771;0,913853;30469
111;76,641494;4,906978;29,286164;0,911539;30337
112;75,225520;4,907244;29,367152;0,909497;30219
113;69,136798;4,753485;29,733711;0,903156;30059
114;72,399231;4,932698;29,533464;0,903445;29925
115;68,988373;4,706634;29,743045;0,902458;29758
116;64,417076;4,504486;30,040794;0,908082;29539
117;73,289278;4,787503;29,480399;0,897960;29304
118;71,496150;4,523416;29,587977;0,902147;28314
119;78,227652;4,878988;29,197201;0,909644;28179
120;66,603904;4,448691;29,895807;0,909100;28026
121;77,401735;4,784795;29,243297;0,903403;27899
122;68,792637;4,649764;29,755384;0,913228;27787
123;90,291291;5,232787;28,574345;0,896513;27639
124;84,023664;5,049909;28,886787;0,892157;27510
125;66,672510;4,739564;29,891336;0,913757;27381
126;73,776277;4,954859;29,451636;0,895422;27248
127;94,496554;5,435180;28,376644;0,883532;27129
128;61,591663;4,476356;30,235584;0,915718;26963
129;92,999104;5,448002;28,446016;0,878096;26799
130;107,389591;5,828224;27,821182;0,869935;26651
131;63,352259;4,653638;30,113183;0,901477;26455
132;104,106370;5,826882;27,956031;0,850984;26248
133;94,436676;5,649422;28,379397;0,849347;26017
134;67,801734;4,636247;29,818396;0,890902;25718
135;98,458551;5,933965;28,198269;0,838412;25441
136;93,344142;5,799284;28,429933;0,832400;25135
137;50,961108;3,960463;31,058415;0,900360;24812
138;98,295563;6,102310;28,205464;0,816845;24455
139;108,654125;6,442713;27,770341;0,810741;24133
140;71,414325;4,965469;29,592950;0,867269;23776
141;117,859441;6,918532;27,417160;0,787253;23371
142;113,564514;6,917760;27,578377;0,780799;22933
143;86,826027;5,666741;28,744304;0,848525;22469
144;125,438615;7,558655;27,146491;0,780123;21976
145;150,892563;8,401807;26,344125;0,772170;21473
146;162,959534;8,463106;26,010006;0,861622;20857
147;209,508760;9,538058;24,918782;0,792253;20206
148;267,972935;10,493581;23,849894;0,789890;19472
149;344,308521;11,450510;22,761326;0,822409;18741
150;293,228671;10,710136;23,458739;0,795012;18074
151;242,460142;9,652674;24,284400;0,787831;17462
152;301,686243;9,462953;23,335249;0,815705;16857
153;159,875107;8,510612;26,092995;0,787219;16302
154;126,001654;7,800229;27,127041;0,786920;15718
155;103,318941;6,791231;27,989004;0,802518;15031
156;105,419166;7,440768;27,901608;0,769166;14536
157;104,223658;7,363864;27,951140;0,721909;14008
158;105,047630;7,164485;27,916941;0,737390;13521
159;123,660978;7,892401;27,208477;0,716001;13067
160;127,085088;7,769286;27,089858;0,706244;12587
161;490,405608;15,623268;21,225249;0,571141;11982
162;240,746387;9,418799;24,315206;0,698434;11139
163;75,705754;5,371261;29,339515;0,743900;10063
164;51,840093;3,945381;30,984146;0,819462;8605
165;140,712064;7,439227;26,647490;0,728696;6623
166;164,003748;8,192932;25,982266;0,716663;5603
167;72,569804;5,215656;29,523244;0,752368;4484
168;29,764687;3,958780;33,393790;0,709105;3081
Total;113,646633;6,090040;27,746422;0,852344;4261350
